batch_size: 200, epochs: 20, hidden: 50, rho: 9.000000e-01, decay: 9.500000e-01
eta, lambda, accuracy, cost
1.628832e-03, 3.410902e-04, 3.956044e+01, 1.737469e+00
3.577278e-02, 1.495328e-14, 4.305694e+01, 1.669799e+00
3.589667e-02, 8.486740e-03, 4.215784e+01, 1.662967e+00
5.902985e-02, 3.366511e-14, 4.375624e+01, 1.632632e+00
7.624424e-02, 6.888078e-03, 4.555445e+01, 1.626937e+00
3.082346e-03, 8.926929e-10, 4.045954e+01, 1.707368e+00
1.856126e-02, 5.736498e-15, 4.205794e+01, 1.662582e+00
5.639912e-03, 4.450160e-14, 4.115884e+01, 1.677740e+00
2.318612e-02, 1.076758e-13, 4.355644e+01, 1.625208e+00
5.683879e-02, 1.168352e-08, 4.305694e+01, 1.630832e+00
4.590931e-02, 8.227659e-11, 4.495504e+01, 1.627558e+00
4.145583e-02, 2.189868e-06, 4.325674e+01, 1.636438e+00
7.063239e-03, 3.312106e-08, 4.205794e+01, 1.658620e+00
8.347434e-02, 1.801551e-13, 4.405594e+01, 1.621426e+00
5.611395e-02, 4.749726e-02, 3.986014e+01, 1.789464e+00
1.369853e-02, 4.739563e-08, 4.345654e+01, 1.670890e+00
1.736452e-02, 8.673522e-09, 4.335664e+01, 1.632899e+00
2.197254e-02, 1.277120e-11, 4.425574e+01, 1.659974e+00
1.614167e-02, 7.525535e-05, 4.195804e+01, 1.666338e+00
1.270794e-03, 2.364899e-05, 3.756244e+01, 1.756164e+00
4.823033e-03, 2.800319e-02, 3.956044e+01, 1.742226e+00
8.762279e-02, 2.138961e-14, 4.395604e+01, 1.614506e+00
5.800797e-02, 5.565589e-11, 4.315684e+01, 1.708525e+00
1.838922e-03, 3.392421e-14, 3.896104e+01, 1.734298e+00
9.958745e-03, 7.273634e-10, 4.295704e+01, 1.665464e+00
2.696146e-02, 1.469337e-04, 4.405594e+01, 1.634228e+00
2.172996e-02, 4.443127e-12, 4.375624e+01, 1.638775e+00
2.071824e-02, 1.156261e-02, 4.215784e+01, 1.669700e+00
8.828293e-03, 2.146014e-04, 4.175824e+01, 1.656531e+00
8.821910e-03, 1.411105e-05, 4.065934e+01, 1.670406e+00
3.370882e-03, 1.962439e-14, 4.035964e+01, 1.697151e+00
5.248424e-02, 1.570277e-06, 4.285714e+01, 1.631413e+00
1.189424e-02, 3.932406e-08, 4.275724e+01, 1.635933e+00
3.501331e-03, 4.469656e-13, 3.976024e+01, 1.725363e+00
6.894753e-03, 3.103583e-07, 4.185814e+01, 1.662161e+00
7.765239e-02, 1.438360e-14, 4.315684e+01, 1.746833e+00
3.063504e-03, 6.493070e-04, 4.005994e+01, 1.712725e+00
4.439514e-03, 1.992861e-12, 3.966034e+01, 1.691033e+00
7.112455e-03, 7.953663e-09, 4.145854e+01, 1.675710e+00
1.927731e-02, 1.294131e-12, 4.355644e+01, 1.701145e+00
1.390035e-02, 3.522611e-05, 4.285714e+01, 1.647602e+00
1.890172e-03, 1.550681e-04, 3.966034e+01, 1.728238e+00
2.849923e-03, 1.173516e-05, 3.966034e+01, 1.706988e+00
1.384498e-03, 1.811104e-12, 3.756244e+01, 1.762638e+00
5.469559e-03, 3.723058e-14, 4.095904e+01, 1.677361e+00
1.310312e-03, 1.050387e-04, 3.766234e+01, 1.757183e+00
5.067407e-03, 1.799337e-12, 4.035964e+01, 1.691702e+00
5.708918e-02, 2.536183e-14, 4.425574e+01, 1.617604e+00
2.283472e-02, 5.438930e-07, 4.435564e+01, 1.651874e+00
1.682381e-02, 2.401252e-15, 4.315684e+01, 1.694984e+00
2.439669e-02, 1.001560e-12, 4.315684e+01, 1.662357e+00
1.670221e-02, 5.824054e-13, 4.275724e+01, 1.651845e+00
1.163031e-02, 3.620584e-11, 4.115884e+01, 1.653008e+00
1.287726e-02, 2.719696e-02, 4.195804e+01, 1.706534e+00
6.642968e-03, 3.087998e-11, 4.095904e+01, 1.679758e+00
2.486627e-02, 1.121879e-08, 4.385614e+01, 1.678092e+00
1.070280e-02, 2.159409e-02, 4.115884e+01, 1.705457e+00
2.250030e-02, 5.596867e-07, 4.225774e+01, 1.650483e+00
1.585195e-02, 7.859691e-05, 4.205794e+01, 1.644223e+00
6.858267e-02, 7.452158e-15, 4.315684e+01, 1.643841e+00
3.866598e-02, 5.153174e-12, 4.355644e+01, 1.636908e+00
1.012922e-03, 1.632691e-05, 3.756244e+01, 1.772358e+00
3.062788e-02, 3.225076e-06, 4.435564e+01, 1.667155e+00
5.111535e-03, 8.831394e-05, 4.015984e+01, 1.691419e+00
3.801836e-03, 3.488134e-10, 4.155844e+01, 1.696857e+00
4.188157e-02, 7.590509e-13, 4.475524e+01, 1.706835e+00
3.477687e-02, 1.187737e-14, 4.435564e+01, 1.648546e+00
1.277277e-02, 1.618349e-15, 4.375624e+01, 1.622164e+00
5.562685e-02, 1.419647e-07, 4.395604e+01, 1.704626e+00
2.035422e-02, 5.927040e-09, 4.365634e+01, 1.634563e+00
5.345260e-03, 9.976579e-04, 3.966034e+01, 1.697172e+00
2.976898e-02, 5.621378e-10, 4.405594e+01, 1.615528e+00
1.012197e-03, 2.711095e-07, 3.746254e+01, 1.769925e+00
1.103944e-02, 2.645943e-07, 4.315684e+01, 1.647996e+00
2.633663e-03, 5.397992e-10, 3.986014e+01, 1.709246e+00
5.899641e-02, 2.557788e-06, 4.315684e+01, 1.614468e+00
1.086413e-03, 1.743182e-12, 3.816184e+01, 1.764553e+00
6.015268e-03, 1.081017e-13, 4.265734e+01, 1.666600e+00
5.853476e-02, 3.632391e-08, 4.545455e+01, 1.617787e+00
1.530960e-02, 1.886393e-11, 4.235764e+01, 1.643084e+00
3.661592e-03, 1.487951e-05, 4.035964e+01, 1.710084e+00
3.246100e-03, 3.211138e-02, 3.976024e+01, 1.741570e+00
4.851441e-02, 4.163888e-12, 4.415584e+01, 1.626310e+00
9.898759e-03, 9.487987e-10, 4.255744e+01, 1.668167e+00
3.212688e-02, 1.031860e-15, 4.385614e+01, 1.629681e+00
7.834460e-03, 1.270534e-13, 4.065934e+01, 1.670974e+00
3.652479e-02, 7.792350e-11, 4.555445e+01, 1.665518e+00
3.517671e-03, 6.552981e-03, 3.976024e+01, 1.726768e+00
4.527578e-03, 2.221895e-12, 3.926074e+01, 1.699984e+00
3.420014e-02, 3.841645e-11, 4.245754e+01, 1.623474e+00
2.660006e-02, 9.659210e-08, 4.405594e+01, 1.626848e+00
5.410293e-02, 2.020275e-12, 4.495504e+01, 1.627643e+00
1.303998e-02, 6.396164e-09, 4.275724e+01, 1.669781e+00
4.905188e-02, 3.304250e-08, 4.355644e+01, 1.614008e+00
6.145793e-03, 1.943218e-14, 4.195804e+01, 1.668572e+00
2.722336e-02, 1.906531e-14, 4.175824e+01, 1.634589e+00
3.727464e-02, 1.953644e-10, 4.305694e+01, 1.635070e+00
1.722548e-03, 3.207933e-14, 3.786214e+01, 1.735827e+00
5.171717e-03, 5.320377e-12, 4.045954e+01, 1.676777e+00
3.819187e-03, 1.251566e-03, 4.005994e+01, 1.698964e+00
